question_name,question_name_short,question_num,col_name_original,response_name,response_name_short,col_name_final
How comfortable are you with the following skills and tools?,skills comfort,30,"Reporting software (Tableau, Periscope/Sisense, Google Data Studio, etc.):How comfortable are you with the following skills and tools?","Reporting software (Tableau, Periscope/Sisense, Google Data Studio, etc.)",reporting,skills_comfort.resp.reporting
How comfortable are you with the following skills and tools?,skills comfort,30,Excel / Google Spreadsheets:How comfortable are you with the following skills and tools?,Excel / Google Spreadsheets,excel,skills_comfort.resp.excel
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Learned in a formal education setting:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Learned in a formal education setting,formal eduaction,skills_learning_method.resp.formal_eduaction
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Learned in a training or bootcamp:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Learned in a training or bootcamp,bootcamp,skills_learning_method.resp.bootcamp
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Self-taught in a job:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Self-taught in a job,self taught in job,skills_learning_method.resp.self_taught_in_job
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Self-taught outside of a job:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Self-taught outside of a job,self taught not in job,skills_learning_method.resp.self_taught_not_in_job
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Taught by others in a job:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Taught by others in a job,others taught in job,skills_learning_method.resp.others_taught_in_job
How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,skills learning method,31,Taught by others outside of a job:How did you learn the skills and tools you use weekly for your job? Please pick your top two options.,Taught by others outside of a job,other taught not in job,skills_learning_method.resp.other_taught_not_in_job
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Coordinate a group of organizations to coordinate or collaborate on program:Which of the following items have you personally done in the last year? Please select all that apply.,Coordinate a group of organizations to coordinate or collaborate on program,coordinate orgs,projects_done_technical.resp.coordinate_orgs
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Pitch a project to a funder or member of senior leadership:Which of the following items have you personally done in the last year? Please select all that apply.,Pitch a project to a funder or member of senior leadership,pitch project,projects_done_technical.resp.pitch_project
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Manage and review others’ analysis or work:Which of the following items have you personally done in the last year? Please select all that apply.,Manage and review others’ analysis or work,review work,projects_done_technical.resp.review_work
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Present the results of a poll, experiment, model, or another analysis for non-technical leadership:Which of the following items have you personally done in the last year? Please select all that apply.","Present the results of a poll, experiment, model, or another analysis for non-technical leadership",present results,projects_done_technical.resp.present_results
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Create a professional development plan for others:Which of the following items have you personally done in the last year? Please select all that apply.,Create a professional development plan for others,create prof dev plan,projects_done_technical.resp.create_prof_dev_plan
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Hire or fire staff:Which of the following items have you personally done in the last year? Please select all that apply.,Hire or fire staff,hire fire,projects_done_technical.resp.hire_fire
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,None of the above:Which of the following items have you personally done in the last year? Please select all that apply.,None of the above,none,projects_done_technical.resp.none
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Create voter contact universes (field, mail, digital, paid media, etc.):Which of the following items have you personally done in the last year? Please select all that apply.","Create voter contact universes (field, mail, digital, paid media, etc.)",universes,projects_done_technical.resp.universes
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Design, implement, and analyze an experiment (field, survey, digital, etc.):Which of the following items have you personally done in the last year? Please select all that apply.","Design, implement, and analyze an experiment (field, survey, digital, etc.)",rct,projects_done_technical.resp.rct
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Transform data and generate reports with SQL:Which of the following items have you personally done in the last year? Please select all that apply.,Transform data and generate reports with SQL,reporting,projects_done_technical.resp.reporting
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Write code for a large-scale software project, such as a web application:Which of the following items have you personally done in the last year? Please select all that apply.","Write code for a large-scale software project, such as a web application",software dev,projects_done_technical.resp.software_dev
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Set up a server, deploy code to a production environment, or other DevOps work:Which of the following items have you personally done in the last year? Please select all that apply.","Set up a server, deploy code to a production environment, or other DevOps work",dev ops,projects_done_technical.resp.dev_ops
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Build data pipelines via API endpoints or other scripting:Which of the following items have you personally done in the last year? Please select all that apply.,Build data pipelines via API endpoints or other scripting,pipelines,projects_done_technical.resp.pipelines
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Run regressions and other analysis using a statistical package:Which of the following items have you personally done in the last year? Please select all that apply.,Run regressions and other analysis using a statistical package,stats analysis,projects_done_technical.resp.stats_analysis
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Build a predictive model (turnout, support, issue, action, etc).:Which of the following items have you personally done in the last year? Please select all that apply.","Build a predictive model (turnout, support, issue, action, etc).",build model,projects_done_technical.resp.build_model
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,Manage the development of a software product:Which of the following items have you personally done in the last year? Please select all that apply.,Manage the development of a software product,software dev manage,projects_done_technical.resp.software_dev_manage
Which of the following items have you personally done in the last year? Please select all that apply.,projects done technical,32,"Write, field, and analyze a poll for your organization or clients:Which of the following items have you personally done in the last year? Please select all that apply.","Write, field, and analyze a poll for your organization or clients",polling,projects_done_technical.resp.polling
Please describe any other major components of your work.,work compenents freetext,33,Please describe any other major components of your work.,NA,NA,work_compenents_freetext
"Thinking about your career path and focus, which one specific skill or tool do you most want to learn?",skill to learn,34,"Thinking about your career path and focus, which one specific skill or tool do you most want to learn?",NA,NA,skill_to_learn
What is your gender identity?,gender,35,What is your gender identity?,NA,NA,gender
What is your gender identity?,gender,35,"Different gender identity, prefer to specify:What is your gender identity?","Different gender identity, prefer to specify",other specify,gender.resp.other_specify
What is your race / ethnicity? Please select all that apply.,race,36,White:What is your race / ethnicity? Please select all that apply.,White,white,race.resp.white
What is your race / ethnicity? Please select all that apply.,race,36,Black or African American:What is your race / ethnicity? Please select all that apply.,Black or African American,black,race.resp.black
What is your race / ethnicity? Please select all that apply.,race,36,American Indian or Alaska Native:What is your race / ethnicity? Please select all that apply.,American Indian or Alaska Native,native american,race.resp.native_american
What is your race / ethnicity? Please select all that apply.,race,36,Asian or Asian American (including South Asian):What is your race / ethnicity? Please select all that apply.,Asian or Asian American (including South Asian),asian,race.resp.asian
What is your race / ethnicity? Please select all that apply.,race,36,Native Hawaiian or Pacific Islander:What is your race / ethnicity? Please select all that apply.,Native Hawaiian or Pacific Islander,native pacific,race.resp.native_pacific
What is your race / ethnicity? Please select all that apply.,race,36,Hispanic or Latino:What is your race / ethnicity? Please select all that apply.,Hispanic or Latino,latinx,race.resp.latinx
What is your race / ethnicity? Please select all that apply.,race,36,Middle Eastern:What is your race / ethnicity? Please select all that apply.,Middle Eastern,middle eastern,race.resp.middle_eastern
What is your race / ethnicity? Please select all that apply.,race,36,"Other, prefer to specify:What is your race / ethnicity? Please select all that apply.","Other, prefer to specify",other specify,race.resp.other_specify
What is your race / ethnicity? Please select all that apply.,race,36,Prefer not to answer:What is your race / ethnicity? Please select all that apply.,Prefer not to answer,prefer not to answer,race.resp.prefer_not_to_answer
What is your race / ethnicity? Please select all that apply.,race,36,"Other, prefer to specify  test:What is your race / ethnicity? Please select all that apply.","Other, prefer to specify  test",other specify,race.resp.other_specify
How long have you or your family lived in the United States?,immigration,37,How long have you or your family lived in the United States?,NA,NA,immigration
What is your year (YYYY) of birth?,yob,38,What is your year (YYYY) of birth?,NA,NA,yob
Do you consider yourself to be ...?,sexual orientation,39,Do you consider yourself to be ...?,NA,NA,sexual_orientation
Do you consider yourself to be ...?,sexual orientation,39,"Different identity, prefer to specify:Do you consider yourself to be ...?","Different identity, prefer to specify",other specify,sexual_orientation.resp.other_specify
"Do you identify as a disabled? You are considered to have a disability if you have a physical or mental impairment or medical condition that substantially limits a major life activity, or if you have a history or record of such an impairment or medical condition.",disabled,40,"Do you identify as a disabled? You are considered to have a disability if you have a physical or mental impairment or medical condition that substantially limits a major life activity, or if you have a history or record of such an impairment or medical condition.",NA,NA,disabled
Are you a member of the military or a veteran?,military status,41,Are you a member of the military or a veteran?,NA,NA,military_status
Are you a member of the military or a veteran?,military status,41,"Other, prefer to specify:Are you a member of the military or a veteran?","Other, prefer to specify",other specify,military_status.resp.other_specify
What is the highest level of education that you have completed?,education level,42,What is the highest level of education that you have completed?,NA,NA,education_level
What country do you live in?,country,43,What country do you live in?,NA,NA,country
What's your zip code?,zipcode,44,What's your zip code? Please enter your zip code in one of the following formats: 12345 or 12345-6789.,NA,NA,zipcode
"How many years of work experience do you have in progressive politics and in data, analytics, and technology (i.e., how many years have you been a progressive data, analytics, or technology practitioner)?",years worked political data,45,"How many years of work experience do you have in progressive politics and in data, analytics, and technology (i.e., how many years have you been a progressive data, analytics, or technology practitioner)?",NA,NA,years_worked_political_data
"How many years of work experience do you have in progressive politics but not in data, analytics, and technology (i.e., exclude any years worked in data, analytics, and technology)?",years worked political,46,"How many years of work experience do you have in progressive politics but not in data, analytics, and technology (i.e., exclude any years worked in data, analytics, and technology)?",NA,NA,years_worked_political
"How many years of work experience do you have in data, analytics, and technology but not in progressive politics (i.e., exclude any years worked in progressive politics)?",years worked data,47,"How many years of work experience do you have in data, analytics, and technology but not in progressive politics (i.e., exclude any years worked in progressive politics)?",NA,NA,years_worked_data
"If you have anything to add or any questions, comments, or feedback, please submit them below.",comments freetext,48,"If you have anything to add or any questions, comments, or feedback, please submit them below.",NA,NA,comments_freetext
